ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
FBLN3	0.751667567486715	12.294094340137105	4.104975650917164	0.0012896328583504816	0.008813246695423282	-2.182596572246661
CDN1A	0.4305039861378286	12.769239628407577	4.102579853766084	0.0012953707618049346	0.008844686931129917	-2.1871535977471908
WDFY3	0.25216581792023063	13.538330901059375	4.101569951335693	0.001297797332137351	0.008853482326344017	-2.189074637011692
IDH3B	0.26469730152624044	16.090482372036213	4.0945373831609215	0.001314825269879904	0.008961784508199837	-2.2024538471320696
TPM2	0.33836793538408055	19.830051025730345	4.093693740728118	0.0013168833686191378	0.008967952677540312	-2.2040590618981604
PERI	0.5819030790589274	15.01122543716037	4.08552541531296	0.0013369825905427354	0.009073048522382943	-2.2196034573037053
KIME	0.5821131828499141	13.414174368796447	4.082434281529065	0.0013446708172508714	0.009112952483097564	-2.2254870236068482
RM51	0.47642383620193607	15.115339901576165	4.082219659923717	0.001345206307135914	0.009112952483097564	-2.225895550111411
PHS	0.5053464322718567	16.66381009817387	4.080946545321007	0.0013483872953752205	0.009121273557149994	-2.228318949821471
LPCT4	0.24036160046265725	13.901763017136549	4.080421049274209	0.0013497025487393729	0.009121273557149994	-2.229319272216145
PTTG	0.2426190042656203	14.39838218051956	4.074057145313834	0.001365735815768488	0.009211905844953626	-2.2414348377331255
MPPB	0.26063578238799107	16.46985293074107	4.070990408061135	0.0013735320077812667	0.009248448852393863	-2.2472741822352624
ARP8	0.3601376156432067	11.586082912157615	4.070115512482836	0.0013757645302952676	0.009255467778638664	-2.2489401699450218
GLYG	0.6974638787869895	14.769535257748984	4.064177400653358	0.0013910161267938544	0.009349984803868458	-2.2602488564108905
CASL	0.6403798541748392	12.665255704471464	4.043815894402705	0.001444646425432105	0.00967701571971187	-2.2990421938013004
RT30	0.21783916936528577	15.372553578932921	4.040825840904879	0.0014526991154447985	0.009714222717811005	-2.304741034023298
SALL1	0.385309950109657	12.468450203145522	4.032944043868236	0.0014741479118226485	0.009826076517974064	-2.3197657440420603
FBP1L	0.4884708688116686	15.096369038598223	4.0323982393065485	0.0014756452119436083	0.009826076517974064	-2.32080632166892
DJC21	0.23875875999604734	13.219604907718232	4.025698904431469	0.0014941512769261413	0.009931636308251796	-2.333580034153047
COQ9	0.3788733589465797	14.428602836646686	4.015822464174415	0.001521869715191401	0.010081414629508966	-2.352416303611549
AR2BP	0.2614302006602002	14.065933793465462	4.007191634112055	0.001546524752385474	0.010227315475596795	-2.3688814995438143
GDIR1	0.4397936092466632	19.40728459354014	4.0006708933542106	0.0015654238935950105	0.010341084505783355	-2.381324007553654
ADAS	0.29644031324923614	15.220967280073038	4.000340505192712	0.0015663877520654228	0.010341084505783355	-2.3819544983598657
TES	0.8129164987506177	16.686695597261796	3.993969405569829	0.0015850941646613048	0.010446845185229633	-2.394113856981477
NUSAP	0.5203181422938274	11.006547591305	3.9924456161814743	0.001589602116859699	0.010458176164482328	-2.3970223660671923
TM1L1	0.4414338388304909	13.60735180187168	3.992025370366219	0.0015908476793857007	0.010458176164482328	-2.3978245259347393
ARAP3	0.28462857506391653	13.408474025137421	3.9844481730844326	0.0016134784046447441	0.010589047723984958	-2.412289424979668
MANEA	0.2707476025055082	13.034745967613828	3.978564201063066	0.0016312798182896854	0.010696849196322836	-2.42352407649408
UHRF2	0.3011342267194587	13.412817953162525	3.972157037704099	0.001650893548848319	0.010798148973417474	-2.4357597778986966
MSRA	0.4334239569943093	14.923240217370447	3.964751996192179	0.0016738638299852462	0.010893421762171765	-2.449903792631434
TMCC1	0.29352513002795894	12.988340900467461	3.9634845274301074	0.0016778282466307758	0.010902095157591496	-2.452325008445758
MAP2	0.29659998532900794	15.188882526898514	3.9617964755688315	0.0016831231392282029	0.010914941772159332	-2.455549782491704
VPP1	0.25894682030715577	16.488846446888406	3.9605778509269416	0.001686956239895594	0.010915064202498097	-2.4578778758545567
SDHF2	0.5123128883011353	11.844872044842697	3.9519159465673854	0.0017144610474957578	0.011065032005290049	-2.4744279868065453
TI17B	0.654534028996841	12.254570808152346	3.9509920791415687	0.0017174217023914942	0.011074949070894402	-2.4761934234532905
DYH7	0.8300081468733403	14.16055541351066	3.9465749388121902	0.0017316496670264994	0.011157447771719209	-2.4846348139693157
SIM26	0.37162455127520955	12.190228799144842	3.9454727915493057	0.0017352185844572321	0.011171187857056205	-2.48674122731951
PCM1	0.1763794069932029	14.414616661206207	3.9425349002029484	0.0017447688231827547	0.011223380593790142	-2.492356390497572
LYPA1	0.4010822435145536	16.03002234726509	3.936748254904948	0.0017637375307913274	0.01133602212972244	-2.5034175876526037
CATZ	0.8416299923239623	17.646170121908245	3.92597399467654	0.0017996211953483741	0.011508602140020684	-2.5240169449454264
JIP3	0.24515510028623672	15.05476797614026	3.9255799942640506	0.0018009475124604823	0.011508602140020684	-2.5247703411285247
CBL	0.313082631702029	14.247669631256235	3.921098206381909	0.0018161052104138002	0.011572404806852073	-2.5333408013118763
PTN1	0.32656352334295513	16.30813218586715	3.920868995530496	0.001816883922999406	0.011572404806852073	-2.5337791433654244
TTC28	0.28862339035777457	13.334226742457252	3.9169007935860956	0.001830419741482995	0.011620550473072044	-2.5413683076868843
ITA3	0.4120150928959338	18.557588360682757	3.9148513139720635	0.0018374511012333873	0.011655674726176226	-2.545288212306251
UQCC2	0.3612670906503586	14.907212793072773	3.9143955442608807	0.0018390185167238146	0.01165611002816716	-2.5461599593590822
FABP5	0.6335014621296388	16.062028172551663	3.9049349400433755	0.001871865327256455	0.011844993205918185	-2.564257325398601
GSTM3	0.6768803967541005	15.679044981848556	3.8984582264636143	0.0018946983732209342	0.011960283480957148	-2.5766490794364385
SLD5	0.3480239236970206	12.135210131486257	3.889362176214201	0.0019272484565963262	0.012146038287641514	-2.594055480823049
ZN609	0.5811244137499092	11.050822665412054	3.883007192263623	0.0019503291366305933	0.012271609786064825	-2.6062186450346605
UN13B	0.2589559903595074	13.210346519078763	3.8816389340543385	0.001955335448930163	0.012293163933977265	-2.608837657593849
LRRF1	0.3107012083983225	15.724082675598797	3.8747844092696795	0.0019806142836256576	0.01243199135089325	-2.621959238754047
CERS5	0.46357627913087	12.762624640469348	3.8719370550645245	0.001991213216554566	0.012483559152831725	-2.6274104901801643
TFB1M	0.443067393877518	14.227972593476927	3.8717155334922397	0.0019920402351374785	0.012483559152831725	-2.627834606638994
RMD1	0.22841243299875225	16.420447350598526	3.867680369400706	0.0020071666439541096	0.012560223800769965	-2.635560525081994
CEP55	0.3649912845289508	13.303816144503282	3.86716739548907	0.002009098010481308	0.012560223800769965	-2.636542737173327
HIG1A	0.8751009596654099	13.310329425945664	3.8536674833449056	0.0020606154633911627	0.012789630054902692	-2.662395368880947
HAUS1	0.2843487882857553	13.384585919693471	3.85036381076596	0.002073427410168994	0.012858887534995428	-2.668723071238527
HTR5A	0.24803943058168065	13.3147446819749	3.843574326618333	0.002100014215994723	0.012972049688475743	-2.6817286576811536
CTNA1	0.23337442538760833	17.682820778400114	3.839490306679034	0.0021161745379154272	0.013040799826757748	-2.689552639756262
ADCK1	0.44962961787154326	12.601722529767114	3.831939808692351	0.0021463874867867798	0.013216512656168475	-2.704019181568677
P4HA3	0.38124430667649084	12.638849537741192	3.8259120209064075	0.002170823936893843	0.013335306285326554	-2.7155697494706237
ECHD1	0.3944819370622487	16.036835335258406	3.8226820926917267	0.0021840348684842538	0.013405871485558043	-2.721759539174842
MED15	0.29993423279810283	13.098043646169769	3.8173930252418895	0.0022058458455043654	0.013529071877356033	-2.7318962299138008
CIP2A	0.3593718466847972	16.14596394566474	3.8169502337582193	0.0022076818974869393	0.01352966281856259	-2.7327449002743895
ERP44	0.3308399099331807	16.382451729522764	3.815458789512774	0.002213877733920304	0.013556950501337166	-2.7356035068517732
RTN3	0.24186607909687874	17.291530143604295	3.8146189623769557	0.0022173744105950066	0.013567396603694739	-2.737213212201203
ACAD9	0.3557079038754245	14.854607157410452	3.8142115551253983	0.0022190727118297166	0.013567396603694739	-2.7379941026332038
