name,ID,female_vs_male_p.val,female_vs_male_p.adj,significant,female_vs_male_significant,female_vs_male_ratio,female_centered,male_centered
TGFB2,P61812,3.33E-07,2.36E-04,TRUE,TRUE,-0.838,-0.419,0.419
CXAR,P78310,3.89E-07,3.03E-04,TRUE,TRUE,-1.2,-0.601,0.601
SHPS1,P78324,2.07E-06,0.00334,TRUE,TRUE,0.626,0.313,-0.313
GSTO1,P78417,4.93E-06,0.00935,TRUE,TRUE,0.598,0.299,-0.299
JAG1,P78504,2.70E-07,1.65E-04,TRUE,TRUE,-0.725,-0.363,0.363
GABT,P80404,3.72E-08,2.23E-06,TRUE,TRUE,-0.766,-0.383,0.383
MXRA7,P84157,1.95E-05,0.0342,TRUE,TRUE,-1.14,-0.568,0.568
VLDLR,P98155,4.01E-07,3.17E-04,TRUE,TRUE,-1.42,-0.71,0.71
RUNX1,Q01196,9.93E-09,4.12E-08,TRUE,TRUE,0.643,0.321,-0.321
APBA1,Q02410,1.13E-06,0.0015,TRUE,TRUE,-1.07,-0.534,0.534
CALD1,Q05682,5.95E-07,5.96E-04,TRUE,TRUE,-0.632,-0.316,0.316
PAX8,Q06710,7.20E-06,0.0138,TRUE,TRUE,1.59,0.796,-0.796
QOR,Q08257,4.25E-10,5.40E-14,TRUE,TRUE,-0.988,-0.494,0.494
MFGM,Q08431,8.44E-13,5.40E-14,TRUE,TRUE,-1.76,-0.881,0.881
KIF1A,Q12756,1.72E-07,7.30E-05,TRUE,TRUE,-0.674,-0.337,0.337
TIAM1,Q13009,2.26E-06,0.00373,TRUE,TRUE,0.677,0.339,-0.339
IQGA2,Q13576,4.25E-06,0.0079,TRUE,TRUE,-0.767,-0.383,0.383
FHL1,Q13642,1.04E-06,0.00133,TRUE,TRUE,0.922,0.461,-0.461
RIN1,Q13671,5.06E-07,4.63E-04,TRUE,TRUE,0.751,0.375,-0.375
ITA7,Q13683,7.93E-11,5.40E-14,TRUE,TRUE,1.1,0.548,-0.548
SHRM2,Q13796,3.34E-08,1.67E-06,TRUE,TRUE,-0.839,-0.42,0.42
KGP1,Q13976,2.29E-05,0.0394,TRUE,TRUE,0.746,0.373,-0.373
IL18,Q14116,1.14E-11,5.40E-14,TRUE,TRUE,-2.59,-1.3,1.3
PDE1C,Q14123,1.91E-07,8.96E-05,TRUE,TRUE,-0.621,-0.31,0.31
LPIN1,Q14693,1.91E-05,0.0337,TRUE,TRUE,0.66,0.33,-0.33
LTBP1,Q14766,3.44E-07,2.50E-04,TRUE,TRUE,-0.705,-0.353,0.353
LTBP2,Q14767,8.37E-09,2.37E-08,TRUE,TRUE,1.27,0.635,-0.635
NFIX,Q14938,2.05E-08,4.08E-07,TRUE,TRUE,1.02,0.51,-0.51
HECAM,Q14CZ8,1.09E-05,0.0206,TRUE,TRUE,0.904,0.452,-0.452
POSTN,Q15063,3.43E-11,5.40E-14,TRUE,TRUE,1.87,0.937,-0.937
PCOC1,Q15113,2.26E-06,0.00374,TRUE,TRUE,1.86,0.928,-0.928
PLCB4,Q15147,2.25E-07,1.21E-04,TRUE,TRUE,-1.07,-0.535,0.535
NADC,Q15274,3.60E-06,0.00649,TRUE,TRUE,-1.08,-0.539,0.539
MK11,Q15759,2.68E-06,0.00455,TRUE,TRUE,0.906,0.453,-0.453
MSMO1,Q15800,1.56E-06,0.00233,TRUE,TRUE,-0.962,-0.481,0.481
STXB2,Q15833,5.26E-08,5.39E-06,TRUE,TRUE,-1.05,-0.525,0.525
AINX,Q16352,2.97E-11,5.40E-14,TRUE,TRUE,-1.25,-0.627,0.627
MAON,Q16798,1.82E-07,8.16E-05,TRUE,TRUE,-1.07,-0.534,0.534
RTN1,Q16799,2.40E-12,5.40E-14,TRUE,TRUE,1.79,0.896,-0.896
CGT,Q16880,2.88E-06,0.00493,TRUE,TRUE,0.909,0.454,-0.454
T132A,Q24JP5,3.71E-06,0.00674,TRUE,TRUE,-0.591,-0.295,0.295
DRB5,Q30154,2.84E-13,5.40E-14,TRUE,TRUE,-5.03,-2.52,2.52
EMAL3,Q32P44,1.33E-08,1.05E-07,TRUE,TRUE,0.731,0.366,-0.366
NAKD2,Q4G0N4,2.29E-05,0.0394,TRUE,TRUE,0.819,0.41,-0.41
OCAD2,Q56VL3,1.28E-07,3.92E-05,TRUE,TRUE,-1.17,-0.584,0.584
K1755,Q5JYT7,2.73E-06,0.00465,TRUE,TRUE,0.871,0.436,-0.436
NHSL1,Q5SYE7,7.81E-06,0.0149,TRUE,TRUE,0.639,0.319,-0.319
S35F1,Q5T1Q4,2.60E-05,0.0438,TRUE,TRUE,-1.37,-0.687,0.687
MRCKA,Q5VT25,2.08E-07,1.05E-04,TRUE,TRUE,0.638,0.319,-0.319
